"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al pagina www.","Ingresar a la Pagina web y ingresar a la opcion cart","SUCCESS","2023-11-18T18:13:13.0445723-05:00[America/Bogota]","0.0","15.63"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-11-18T21:27:21.7314522-05:00[America/Bogota]","0.0","17.86"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-18T21:28:37.9286275-05:00[America/Bogota]","0.0","14.34"
"Ingresar al Portal Web","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-18T21:29:50.3039863-05:00[America/Bogota]","0.0","14.57"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-19T11:40:06.1905138-05:00[America/Bogota]","0.0","11.5"
"Ingresar en la pagina","Ingresar a la Pagina web y ingresar un producto al carro","SUCCESS","2023-11-18T16:41:53.5588153-05:00[America/Bogota]","0.0","8.7"
"Ingresar al link","Ingresar a la Pagina web y registrarse","SUCCESS","2023-11-18T15:26:16.6359799-05:00[America/Bogota]","0.0","22.9"
"Ingresar al link","Ingresar a la Pagina web y loguearse","SUCCESS","2023-11-18T15:57:40.3858795-05:00[America/Bogota]","0.0","98.0"
"Ingresar al portalesd","Ingresar a la Pagina web y abrir la opcion About us","SUCCESS","2023-11-18T20:00:11.6794248-05:00[America/Bogota]","0.0","18.5"
"Ingresar al link de la pagina","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-18T21:16:40.7712237-05:00[America/Bogota]","0.0","28.67"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-19T11:40:31.6950697-05:00[America/Bogota]","0.0","12.47"
"Ingresar al Portal Web","Ingresar a la pagina y registrar un Pedido","SUCCESS","2023-11-19T11:06:27.5784165-05:00[America/Bogota]","0.0","23.99"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y registrar un Pedido","SUCCESS","2023-11-19T11:40:46.967712-05:00[America/Bogota]","0.0","39.95"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-12-11T13:36:17.0567429-05:00[America/Bogota]","0.0","48.27"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y registrar los usuarios mediante excel","SUCCESS","2023-12-15T15:00:40.5322587-05:00[America/Bogota]","0.0","102.69"
"Ingresar al Portal Web demoblaze.com y comprar productos","Ingresar a la pagina, seleccionar el primer producto, agregarlo al carro y seleccionar el último producto","SUCCESS","2023-12-12T08:49:10.942479-05:00[America/Bogota]","0.0","38.34"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y loguear los usuarios","SUCCESS","2024-05-24T17:49:41.16277-05:00[America/Bogota]","0.0","89.04"
